title,price,surface,postal_code,city,source,scraped_at,quartier_anonymise,date_anonymisation
Appartement lumineux à Kerichen,56890,22,29200,Brest,insee,2025-06-15T14:07:32.488306,Quartier_25,2025-11-30T14:07:32.488306
T2 calme à Vieux-Nice,104122,31,06000,Nice,csv_import,2025-06-08T14:07:32.488306,Quartier_26,2025-11-30T14:07:32.488306
T4 calme à Brazais,277130,75,35000,Rennes,json_import,2025-10-30T14:07:32.488306,Quartier_27,2025-11-30T14:07:32.488306
T4 lumineux à Centre-ville,256529,76,33000,Bordeaux,insee,2025-08-15T14:07:32.488306,Quartier_28,2025-11-30T14:07:32.488306
T1 bien situé à Centre,118894,32,49000,Angers,csv_import,2025-10-28T14:07:32.488306,Quartier_29,2025-11-30T14:07:32.488306
T2 moderne à Ecusson,136249,43,34000,Montpellier,csv_import,2025-07-16T14:07:32.488306,Quartier_30,2025-11-30T14:07:32.488306
Maison lumineux à Garrigues,245064,86,30000,Nîmes,json_import,2025-11-02T14:07:32.488306,Quartier_31,2025-11-30T14:07:32.488306
Duplex bien situé à Centre,247221,48,35000,Rennes,insee,2025-10-26T14:07:32.488306,Quartier_32,2025-11-30T14:07:32.488306
T5+ rénové à Bastide,720522,130,33000,Bordeaux,insee,2025-07-31T14:07:32.488306,Quartier_33,2025-11-30T14:07:32.488306
Duplex lumineux à Madeleine,223106,64,44000,Nantes,seloger,2025-08-21T14:07:32.488306,Quartier_34,2025-11-30T14:07:32.488306
Duplex bien situé à Marais,436246,51,75001,Paris,insee,2025-06-07T14:07:32.488306,Quartier_35,2025-11-30T14:07:32.488306
T2 calme à Neustadt,128214,34,67000,Strasbourg,seloger,2025-11-17T14:07:32.488306,Quartier_36,2025-11-30T14:07:32.488306
T4 lumineux à Riquier,331967,69,06000,Nice,seloger,2025-10-30T14:07:32.488306,Quartier_37,2025-11-30T14:07:32.488306
Maison lumineux à Yzeure,338934,140,72000,Le Mans,csv_import,2025-10-07T14:07:32.488306,Quartier_38,2025-11-30T14:07:32.488306
T3 bien situé à Minimes,294169,61,31000,Toulouse,leboncoin,2025-11-27T14:07:32.488306,Quartier_39,2025-11-30T14:07:32.488306
T2 calme à Champratel,58621,36,63000,Clermont-Ferrand,json_import,2025-07-06T14:07:32.488306,Quartier_40,2025-11-30T14:07:32.488306
T1 bien situé à Centre,140423,28,35000,Rennes,leboncoin,2025-10-08T14:07:32.488306,Quartier_41,2025-11-30T14:07:32.488306
Studio moderne à Cleunay,91824,22,35000,Rennes,insee,2025-09-21T14:07:32.488306,Quartier_42,2025-11-30T14:07:32.488306
T5+ moderne à Trefilerie,175486,85,42000,Saint-Étienne,seloger,2025-06-30T14:07:32.488306,Quartier_43,2025-11-30T14:07:32.488306
Studio moderne à Jas de Bouffan,112467,28,13100,Aix-en-Provence,csv_import,2025-06-17T14:07:32.488306,Quartier_44,2025-11-30T14:07:32.488306
T5+ rénové à Vieux-Port,672454,170,13001,Marseille,json_import,2025-08-15T14:07:32.488306,Quartier_45,2025-11-30T14:07:32.488306
T1 calme à Jardin Lecoq,45401,25,63000,Clermont-Ferrand,leboncoin,2025-11-16T14:07:32.488306,Quartier_46,2025-11-30T14:07:32.488306
Appartement lumineux à Villejean,119953,37,35000,Rennes,leboncoin,2025-08-04T14:07:32.488306,Quartier_47,2025-11-30T14:07:32.488306
T5+ moderne à Lambézellec,255221,97,29200,Brest,insee,2025-09-01T14:07:32.488306,Quartier_48,2025-11-30T14:07:32.488306
Villa bien situé à Champratel,269533,144,63000,Clermont-Ferrand,json_import,2025-11-08T14:07:32.488306,Quartier_49,2025-11-30T14:07:32.488306
Villa moderne à Centre,498001,154,49000,Angers,seloger,2025-09-03T14:07:32.488306,Quartier_0,2025-11-30T14:07:32.488306
Duplex moderne à Centre,304204,86,72000,Le Mans,leboncoin,2025-10-26T14:07:32.488306,Quartier_1,2025-11-30T14:07:32.488306
Maison calme à Faubourg North,298359,113,21000,Dijon,seloger,2025-08-11T14:07:32.488306,Quartier_2,2025-11-30T14:07:32.488306
Villa bien situé à Dervallières,385143,108,44000,Nantes,json_import,2025-07-06T14:07:32.488306,Quartier_3,2025-11-30T14:07:32.488306
T3 calme à Montchapet,162569,55,21000,Dijon,seloger,2025-08-08T14:07:32.488306,Quartier_4,2025-11-30T14:07:32.488306
T5+ calme à Centre,485354,187,49000,Angers,insee,2025-10-30T14:07:32.488306,Quartier_5,2025-11-30T14:07:32.488306
Maison calme à Part-Dieu,571055,94,69001,Lyon,insee,2025-11-04T14:07:32.488306,Quartier_6,2025-11-30T14:07:32.488306
Studio rénové à Chartrons,189799,31,33000,Bordeaux,leboncoin,2025-06-07T14:07:32.488306,Quartier_7,2025-11-30T14:07:32.488306
Appartement moderne à Saint-Laurent,310875,88,38000,Grenoble,seloger,2025-09-12T14:07:32.488306,Quartier_8,2025-11-30T14:07:32.488306
Maison calme à Orangerie,485748,120,67000,Strasbourg,json_import,2025-11-28T14:07:32.488306,Quartier_9,2025-11-30T14:07:32.488306
Studio calme à Chartrons,103101,24,33000,Bordeaux,csv_import,2025-08-15T14:07:32.488306,Quartier_10,2025-11-30T14:07:32.488306
T1 rénové à Centre,78006,35,42000,Saint-Étienne,insee,2025-10-07T14:07:32.488306,Quartier_11,2025-11-30T14:07:32.488306
Duplex bien situé à Antigone,348107,96,34000,Montpellier,insee,2025-07-02T14:07:32.488306,Quartier_12,2025-11-30T14:07:32.488306
T3 lumineux à Vieux-Lille,149462,47,59000,Lille,leboncoin,2025-07-16T14:07:32.488306,Quartier_13,2025-11-30T14:07:32.488306
Appartement moderne à Montchapet,72362,22,21000,Dijon,seloger,2025-10-13T14:07:32.488306,Quartier_14,2025-11-30T14:07:32.488306
Villa bien situé à Trefilerie,202024,94,42000,Saint-Étienne,csv_import,2025-11-04T14:07:32.488306,Quartier_15,2025-11-30T14:07:32.488306
Villa calme à Endoume,652189,177,13001,Marseille,csv_import,2025-09-16T14:07:32.488306,Quartier_16,2025-11-30T14:07:32.488306
Villa lumineux à Croix-Rousse,929009,188,69001,Lyon,csv_import,2025-07-05T14:07:32.488306,Quartier_17,2025-11-30T14:07:32.488306
Villa lumineux à Chartrons,584359,125,33000,Bordeaux,insee,2025-11-25T14:07:32.488306,Quartier_18,2025-11-30T14:07:32.488306
Duplex moderne à Esquermes,80843,24,59000,Lille,seloger,2025-11-03T14:07:32.488306,Quartier_19,2025-11-30T14:07:32.488306
T3 calme à Madeleine,236345,54,44000,Nantes,seloger,2025-08-07T14:07:32.488306,Quartier_20,2025-11-30T14:07:32.488306
T2 rénové à Madeleine,96647,34,44000,Nantes,json_import,2025-10-16T14:07:32.488306,Quartier_21,2025-11-30T14:07:32.488306
Appartement bien situé à Centre-ville,107023,30,30000,Nîmes,insee,2025-10-26T14:07:32.488306,Quartier_22,2025-11-30T14:07:32.488306
Loft moderne à Lambézellec,108576,49,29200,Brest,leboncoin,2025-08-06T14:07:32.488306,Quartier_23,2025-11-30T14:07:32.488306
T1 moderne à Panier,100766,24,13001,Marseille,json_import,2025-09-17T14:07:32.488306,Quartier_24,2025-11-30T14:07:32.488306
T4 bien situé à Centre-ville,399596,70,33000,Bordeaux,leboncoin,2025-07-27T14:07:32.488306,Quartier_25,2025-11-30T14:07:32.488306
Loft bien situé à Bouffay,179001,33,44000,Nantes,insee,2025-08-01T14:07:32.488306,Quartier_26,2025-11-30T14:07:32.488306
Villa calme à Croix-Rousse,672808,130,69001,Lyon,seloger,2025-06-16T14:07:32.488306,Quartier_27,2025-11-30T14:07:32.488306
Appartement lumineux à Villeboeuf,194692,93,42000,Saint-Étienne,leboncoin,2025-10-10T14:07:32.488306,Quartier_28,2025-11-30T14:07:32.488306
T3 calme à Centre-ville,137203,46,30000,Nîmes,csv_import,2025-07-09T14:07:32.488306,Quartier_29,2025-11-30T14:07:32.488306
Appartement rénové à Lambézellec,120432,46,29200,Brest,json_import,2025-09-19T14:07:32.488306,Quartier_30,2025-11-30T14:07:32.488306
T2 rénové à Vieux-Nice,253471,45,06000,Nice,json_import,2025-07-04T14:07:32.488306,Quartier_31,2025-11-30T14:07:32.488306
Duplex bien situé à Cours Mirabeau,353298,69,13100,Aix-en-Provence,insee,2025-08-16T14:07:32.488306,Quartier_32,2025-11-30T14:07:32.488306
Duplex bien situé à Dervallières,215245,56,44000,Nantes,leboncoin,2025-07-11T14:07:32.488306,Quartier_33,2025-11-30T14:07:32.488306
Loft lumineux à Graslin,399130,89,44000,Nantes,json_import,2025-10-08T14:07:32.488306,Quartier_34,2025-11-30T14:07:32.488306
T1 bien situé à Cleunay,79119,31,35000,Rennes,leboncoin,2025-08-05T14:07:32.488306,Quartier_35,2025-11-30T14:07:32.488306
Maison lumineux à Lambézellec,331647,102,29200,Brest,json_import,2025-09-01T14:07:32.488306,Quartier_36,2025-11-30T14:07:32.488306
T2 calme à Carmes,163420,36,31000,Toulouse,leboncoin,2025-07-29T14:07:32.488306,Quartier_37,2025-11-30T14:07:32.488306
Appartement calme à Graslin,198154,52,44000,Nantes,json_import,2025-07-19T14:07:32.488306,Quartier_38,2025-11-30T14:07:32.488306
Maison moderne à Esquermes,304900,120,59000,Lille,seloger,2025-11-21T14:07:32.488306,Quartier_39,2025-11-30T14:07:32.488306
Appartement calme à Centre,286261,59,38000,Grenoble,seloger,2025-06-08T14:07:32.488306,Quartier_40,2025-11-30T14:07:32.488306
T5+ moderne à Croix-Rousse,414877,104,69001,Lyon,csv_import,2025-07-02T14:07:32.488306,Quartier_41,2025-11-30T14:07:32.488306
T2 bien situé à Part-Dieu,179665,31,69001,Lyon,json_import,2025-09-28T14:07:32.488306,Quartier_42,2025-11-30T14:07:32.488306
Villa rénové à Part-Dieu,611288,105,69001,Lyon,json_import,2025-08-11T14:07:32.488306,Quartier_43,2025-11-30T14:07:32.488306
T5+ lumineux à Montferrand,177925,88,63000,Clermont-Ferrand,insee,2025-11-27T14:07:32.488306,Quartier_44,2025-11-30T14:07:32.488306
T1 calme à Fives,83756,29,59000,Lille,json_import,2025-08-19T14:07:32.488306,Quartier_45,2025-11-30T14:07:32.488306
Duplex moderne à Kerichen,290336,83,29200,Brest,json_import,2025-10-17T14:07:32.488306,Quartier_46,2025-11-30T14:07:32.488306
T2 bien situé à Ecusson,176909,43,34000,Montpellier,csv_import,2025-09-07T14:07:32.488306,Quartier_47,2025-11-30T14:07:32.488306
T2 rénové à Marais,476452,44,75001,Paris,json_import,2025-08-19T14:07:32.488306,Quartier_48,2025-11-30T14:07:32.488306
T4 bien situé à Cleunay,197920,62,35000,Rennes,json_import,2025-08-01T14:07:32.488306,Quartier_49,2025-11-30T14:07:32.488306
Loft calme à Centre,178260,47,67000,Strasbourg,insee,2025-08-30T14:07:32.488306,Quartier_0,2025-11-30T14:07:32.488306
Duplex rénové à Endoume,292002,79,13001,Marseille,json_import,2025-07-10T14:07:32.488306,Quartier_1,2025-11-30T14:07:32.488306
T3 moderne à Champratel,95347,45,63000,Clermont-Ferrand,insee,2025-09-01T14:07:32.496493,Quartier_2,2025-11-30T14:07:32.496493
Loft calme à Trefilerie,149527,68,42000,Saint-Étienne,leboncoin,2025-08-03T14:07:32.496493,Quartier_3,2025-11-30T14:07:32.496493
T1 bien situé à Trefilerie,54022,26,42000,Saint-Étienne,leboncoin,2025-11-21T14:07:32.496493,Quartier_4,2025-11-30T14:07:32.496493
Loft lumineux à Vieux-Lille,209944,86,59000,Lille,insee,2025-08-28T14:07:32.496493,Quartier_5,2025-11-30T14:07:32.496493
Appartement rénové à Centre,97967,27,67000,Strasbourg,json_import,2025-06-25T14:07:32.496493,Quartier_6,2025-11-30T14:07:32.496493
Duplex bien situé à Cleunay,148095,33,35000,Rennes,seloger,2025-09-29T14:07:32.496493,Quartier_7,2025-11-30T14:07:32.496493
Villa moderne à Montchapet,499379,181,21000,Dijon,csv_import,2025-08-05T14:07:32.496493,Quartier_8,2025-11-30T14:07:32.496493
Appartement calme à Esquermes,207249,74,59000,Lille,insee,2025-10-30T14:07:32.496493,Quartier_9,2025-11-30T14:07:32.496493
Appartement rénové à Puyricard,418354,82,13100,Aix-en-Provence,insee,2025-07-15T14:07:32.496493,Quartier_10,2025-11-30T14:07:32.496493
T5+ calme à Orangerie,549400,178,67000,Strasbourg,insee,2025-07-08T14:07:32.496493,Quartier_11,2025-11-30T14:07:32.496493
Villa bien situé à Riquier,520528,92,06000,Nice,seloger,2025-10-19T14:07:32.496493,Quartier_12,2025-11-30T14:07:32.496493
Maison bien situé à Madeleine,594324,135,44000,Nantes,seloger,2025-09-19T14:07:32.496493,Quartier_13,2025-11-30T14:07:32.496493
Appartement bien situé à Graslin,237880,70,44000,Nantes,json_import,2025-11-04T14:07:32.496493,Quartier_14,2025-11-30T14:07:32.496493
Appartement lumineux à Neustadt,365920,83,67000,Strasbourg,json_import,2025-09-30T14:07:32.496493,Quartier_15,2025-11-30T14:07:32.496493
Studio calme à Antigone,68549,18,34000,Montpellier,seloger,2025-08-17T14:07:32.496493,Quartier_16,2025-11-30T14:07:32.496493
Studio calme à Krutenau,121448,34,67000,Strasbourg,insee,2025-10-06T14:07:32.496493,Quartier_17,2025-11-30T14:07:32.496493
Duplex lumineux à Valdegour,148886,59,30000,Nîmes,csv_import,2025-10-02T14:07:32.496493,Quartier_18,2025-11-30T14:07:32.496493
T5+ lumineux à Belle-Beille,426798,194,49000,Angers,leboncoin,2025-09-10T14:07:32.496493,Quartier_19,2025-11-30T14:07:32.496493
T2 rénové à Centre-ville,113084,48,30000,Nîmes,leboncoin,2025-10-21T14:07:32.496493,Quartier_20,2025-11-30T14:07:32.496493
T5+ calme à Antigone,796371,179,34000,Montpellier,insee,2025-09-14T14:07:32.496493,Quartier_21,2025-11-30T14:07:32.496493
T4 moderne à Trefilerie,210915,68,42000,Saint-Étienne,leboncoin,2025-09-27T14:07:32.496493,Quartier_22,2025-11-30T14:07:32.496493
T2 calme à Lambézellec,111892,35,29200,Brest,csv_import,2025-07-08T14:07:32.496493,Quartier_23,2025-11-30T14:07:32.496493
Villa moderne à Croix-Rousse,509382,113,69001,Lyon,seloger,2025-08-06T14:07:32.496493,Quartier_24,2025-11-30T14:07:32.496493
T5+ lumineux à Centre,692052,188,21000,Dijon,seloger,2025-06-22T14:07:32.496493,Quartier_25,2025-11-30T14:07:32.496493
Loft lumineux à Brazais,298457,99,35000,Rennes,seloger,2025-11-08T14:07:32.496493,Quartier_26,2025-11-30T14:07:32.496493
T4 calme à Le Corbusier,158794,70,42000,Saint-Étienne,seloger,2025-06-27T14:07:32.496493,Quartier_27,2025-11-30T14:07:32.496493
T5+ calme à Presqu'île,972231,187,69001,Lyon,leboncoin,2025-08-01T14:07:32.496493,Quartier_28,2025-11-30T14:07:32.496493
T5+ rénové à Riquier,541770,92,06000,Nice,insee,2025-11-10T14:07:32.496493,Quartier_29,2025-11-30T14:07:32.496493
Studio moderne à Jardin Lecoq,61565,25,63000,Clermont-Ferrand,seloger,2025-08-04T14:07:32.496493,Quartier_30,2025-11-30T14:07:32.496493
Loft moderne à Villeboeuf,166724,97,42000,Saint-Étienne,json_import,2025-09-11T14:07:32.496493,Quartier_31,2025-11-30T14:07:32.496493
T4 rénové à Riquier,378920,70,06000,Nice,insee,2025-10-17T14:07:32.496493,Quartier_32,2025-11-30T14:07:32.496493
Studio calme à Bastide,217774,34,33000,Bordeaux,seloger,2025-06-23T14:07:32.496493,Quartier_33,2025-11-30T14:07:32.496493
Appartement lumineux à Mistral,169084,55,38000,Grenoble,seloger,2025-10-11T14:07:32.496493,Quartier_34,2025-11-30T14:07:32.496493
T1 lumineux à Centre,120653,32,21000,Dijon,seloger,2025-09-15T14:07:32.496493,Quartier_35,2025-11-30T14:07:32.496493
T3 calme à Saint-Cyprien,146101,50,31000,Toulouse,json_import,2025-10-30T14:07:32.496493,Quartier_36,2025-11-30T14:07:32.496493
Maison lumineux à Centre,338998,159,63000,Clermont-Ferrand,csv_import,2025-06-16T14:07:32.496493,Quartier_37,2025-11-30T14:07:32.496493
Loft calme à Vieux-Port,361062,87,13001,Marseille,json_import,2025-08-24T14:07:32.496493,Quartier_38,2025-11-30T14:07:32.496493
T2 bien situé à Centre-ville,77058,35,29200,Brest,seloger,2025-11-19T14:07:32.496493,Quartier_39,2025-11-30T14:07:32.496493
Studio moderne à Centre,154464,29,67000,Strasbourg,json_import,2025-11-23T14:07:32.496493,Quartier_40,2025-11-30T14:07:32.496493
Studio lumineux à Villeboeuf,39437,19,42000,Saint-Étienne,leboncoin,2025-09-06T14:07:32.496493,Quartier_41,2025-11-30T14:07:32.496493
Maison lumineux à Centre-ville,480548,95,33000,Bordeaux,insee,2025-11-04T14:07:32.496493,Quartier_42,2025-11-30T14:07:32.496493
Maison rénové à Cleunay,408424,94,35000,Rennes,leboncoin,2025-06-09T14:07:32.496493,Quartier_43,2025-11-30T14:07:32.496493
Duplex lumineux à Vieux-Nice,149242,41,06000,Nice,json_import,2025-07-18T14:07:32.496493,Quartier_44,2025-11-30T14:07:32.496493
Studio calme à Cleunay,61274,25,35000,Rennes,leboncoin,2025-09-08T14:07:32.496493,Quartier_45,2025-11-30T14:07:32.496493
T2 lumineux à Panier,294624,50,13001,Marseille,json_import,2025-06-24T14:07:32.496493,Quartier_46,2025-11-30T14:07:32.496493
T1 rénové à Trefilerie,33723,17,42000,Saint-Étienne,seloger,2025-08-29T14:07:32.496493,Quartier_47,2025-11-30T14:07:32.496493
T3 bien situé à Centre,134280,48,63000,Clermont-Ferrand,json_import,2025-08-01T14:07:32.496493,Quartier_48,2025-11-30T14:07:32.496493
T1 rénové à Montchapet,43515,17,21000,Dijon,leboncoin,2025-10-24T14:07:32.496493,Quartier_49,2025-11-30T14:07:32.496493
Appartement moderne à Madeleine,207276,56,44000,Nantes,insee,2025-07-11T14:07:32.496493,Quartier_0,2025-11-30T14:07:32.496493
T4 moderne à Chartrons,370183,68,33000,Bordeaux,csv_import,2025-09-03T14:07:32.496493,Quartier_1,2025-11-30T14:07:32.496493
T1 calme à Lambézellec,68963,23,29200,Brest,json_import,2025-09-04T14:07:32.496493,Quartier_2,2025-11-30T14:07:32.496493
T3 moderne à Antigone,313666,66,34000,Montpellier,leboncoin,2025-08-28T14:07:32.496493,Quartier_3,2025-11-30T14:07:32.496493
Villa rénové à Cours Mirabeau,637828,118,13100,Aix-en-Provence,leboncoin,2025-10-03T14:07:32.496493,Quartier_4,2025-11-30T14:07:32.496493
T1 bien situé à Lac de Maine,87543,33,49000,Angers,csv_import,2025-10-11T14:07:32.496493,Quartier_5,2025-11-30T14:07:32.496493
Villa calme à Panier,443749,95,13001,Marseille,insee,2025-07-01T14:07:32.496493,Quartier_6,2025-11-30T14:07:32.496493
T1 moderne à Neustadt,71390,28,67000,Strasbourg,csv_import,2025-11-04T14:07:32.496493,Quartier_7,2025-11-30T14:07:32.496493
T2 lumineux à Saint-Germain,584890,34,75001,Paris,json_import,2025-09-09T14:07:32.496493,Quartier_8,2025-11-30T14:07:32.496493
Maison bien situé à Lac de Maine,296432,121,49000,Angers,leboncoin,2025-09-25T14:07:32.496493,Quartier_9,2025-11-30T14:07:32.496493
Duplex rénové à Chartrons,108611,26,33000,Bordeaux,seloger,2025-09-09T14:07:32.496493,Quartier_10,2025-11-30T14:07:32.496493
Studio lumineux à Capitole,148855,31,31000,Toulouse,json_import,2025-07-14T14:07:32.496493,Quartier_11,2025-11-30T14:07:32.496493
Appartement lumineux à Kerichen,228430,73,29200,Brest,seloger,2025-06-10T14:07:32.496493,Quartier_12,2025-11-30T14:07:32.496493
Studio calme à Centre,102965,28,72000,Le Mans,seloger,2025-08-29T14:07:32.496493,Quartier_13,2025-11-30T14:07:32.496493
Maison bien situé à Dervallières,494325,138,44000,Nantes,csv_import,2025-09-09T14:07:32.496493,Quartier_14,2025-11-30T14:07:32.496493
Villa moderne à Endoume,649382,182,13001,Marseille,json_import,2025-07-27T14:07:32.496493,Quartier_15,2025-11-30T14:07:32.496493
Villa bien situé à Carmes,296384,97,31000,Toulouse,csv_import,2025-07-14T14:07:32.496493,Quartier_16,2025-11-30T14:07:32.496493
Villa calme à Champratel,230258,96,63000,Clermont-Ferrand,json_import,2025-09-23T14:07:32.496493,Quartier_17,2025-11-30T14:07:32.496493
Appartement rénové à Centre-ville,212156,66,30000,Nîmes,insee,2025-09-22T14:07:32.496493,Quartier_18,2025-11-30T14:07:32.496493
T2 moderne à Centre-ville,103104,37,30000,Nîmes,csv_import,2025-10-16T14:07:32.496493,Quartier_19,2025-11-30T14:07:32.496493
Studio moderne à Centre-ville,141162,29,33000,Bordeaux,csv_import,2025-06-12T14:07:32.496493,Quartier_20,2025-11-30T14:07:32.496493
T2 lumineux à Cleunay,79224,30,35000,Rennes,seloger,2025-09-03T14:07:32.496493,Quartier_21,2025-11-30T14:07:32.496493
Studio calme à Montchapet,109592,32,21000,Dijon,json_import,2025-11-16T14:07:32.496493,Quartier_22,2025-11-30T14:07:32.496493
Villa lumineux à Centre,327921,133,72000,Le Mans,json_import,2025-09-23T14:07:32.496493,Quartier_23,2025-11-30T14:07:32.496493
Loft moderne à Endoume,349839,73,13001,Marseille,seloger,2025-07-08T14:07:32.496493,Quartier_24,2025-11-30T14:07:32.496493
Maison moderne à Neustadt,519534,188,67000,Strasbourg,leboncoin,2025-06-30T14:07:32.496493,Quartier_25,2025-11-30T14:07:32.496493
T3 lumineux à Vieux-Port,464634,70,13001,Marseille,leboncoin,2025-06-20T14:07:32.496493,Quartier_26,2025-11-30T14:07:32.496493
Appartement moderne à Esquermes,223110,79,59000,Lille,seloger,2025-07-03T14:07:32.496493,Quartier_27,2025-11-30T14:07:32.496493
Studio lumineux à Libération,155075,34,06000,Nice,json_import,2025-11-26T14:07:32.496493,Quartier_28,2025-11-30T14:07:32.496493
T3 moderne à Écusson,227002,67,30000,Nîmes,csv_import,2025-08-28T14:07:32.496493,Quartier_29,2025-11-30T14:07:32.496493
Villa calme à Centre,527485,187,49000,Angers,csv_import,2025-07-24T14:07:32.496493,Quartier_30,2025-11-30T14:07:32.496493
T4 rénové à Centre,180139,74,49000,Angers,leboncoin,2025-10-18T14:07:32.496493,Quartier_31,2025-11-30T14:07:32.496493
Studio calme à Neustadt,137795,33,67000,Strasbourg,json_import,2025-09-18T14:07:32.496493,Quartier_32,2025-11-30T14:07:32.496493
Loft moderne à Madeleine,293415,73,44000,Nantes,leboncoin,2025-09-14T14:07:32.496493,Quartier_33,2025-11-30T14:07:32.496493
Loft lumineux à Brazais,288515,97,35000,Rennes,insee,2025-09-25T14:07:32.496493,Quartier_34,2025-11-30T14:07:32.496493
T5+ lumineux à Neustadt,340578,109,67000,Strasbourg,json_import,2025-11-16T14:07:32.496493,Quartier_35,2025-11-30T14:07:32.496493
Studio rénové à Montchapet,54644,28,21000,Dijon,csv_import,2025-06-23T14:07:32.496493,Quartier_36,2025-11-30T14:07:32.496493
T4 bien situé à Croix-Rousse,359804,64,69001,Lyon,json_import,2025-08-17T14:07:32.496493,Quartier_37,2025-11-30T14:07:32.496493
T5+ rénové à Riquier,653144,140,06000,Nice,json_import,2025-11-23T14:07:32.496493,Quartier_38,2025-11-30T14:07:32.496493
T4 rénové à Le Corbusier,138700,74,42000,Saint-Étienne,seloger,2025-09-23T14:07:32.496493,Quartier_39,2025-11-30T14:07:32.496493
Appartement bien situé à Centre,231344,75,49000,Angers,seloger,2025-08-02T14:07:32.496493,Quartier_40,2025-11-30T14:07:32.496493
T5+ calme à Neustadt,652992,141,67000,Strasbourg,seloger,2025-11-29T14:07:32.496493,Quartier_41,2025-11-30T14:07:32.496493
T2 moderne à Villeboeuf,109648,49,42000,Saint-Étienne,leboncoin,2025-11-03T14:07:32.496493,Quartier_42,2025-11-30T14:07:32.496493
T2 calme à Libération,155825,37,06000,Nice,seloger,2025-08-11T14:07:32.496493,Quartier_43,2025-11-30T14:07:32.496493
T3 calme à Montchapet,182182,62,21000,Dijon,json_import,2025-10-20T14:07:32.496493,Quartier_44,2025-11-30T14:07:32.496493
T3 calme à Jardin Lecoq,160152,64,63000,Clermont-Ferrand,insee,2025-07-21T14:07:32.496493,Quartier_45,2025-11-30T14:07:32.496493
